CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
Problem_Reporting,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
Problem_Reporting,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
Problem_Reporting,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
RequirementConfigurationManagement,,,,
RequirementConfigurationManagement,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
RequirementConfigurationManagement,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
RequirementConfigurationManagement,endedAtTime,dateTime,,The time an activity was ended
RequirementConfigurationManagement,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
RequirementConfigurationManagement,startedAtTime,dateTime,,The time an activity was started
RequirementConfigurationManagement,title,string,,"A short, human-readable identifying label."
RequirementConfigurationManagement,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
RequirementConfigurationManagement,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
RequirementConfigurationManagement,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
ReviewConfigurationManagement,,,,
ReviewConfigurationManagement,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ReviewConfigurationManagement,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ReviewConfigurationManagement,endedAtTime,dateTime,,The time an activity was ended
ReviewConfigurationManagement,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ReviewConfigurationManagement,startedAtTime,dateTime,,The time an activity was started
ReviewConfigurationManagement,title,string,,"A short, human-readable identifying label."
ReviewConfigurationManagement,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ReviewConfigurationManagement,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ReviewConfigurationManagement,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
RpmFile,,,,
RpmFile,createBy,FILE_CREATION,,FILE_CREATION ACTIVITY that created this file
RpmFile,definedIn,FILE,,The file an ENTITY is defined or contained in
RpmFile,fileFormat,FORMAT,,The byte-level encoding of a file
RpmFile,fileHash,FILE_HASH,,Hash of the file contents
RpmFile,filename,string,,A logical file path relative to the container of the file.
RpmFile,satisfies,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that this code file participates in satisfying
RpmFile,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
RpmFile,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
RpmFile,generatedAtTime,dateTime,,The time this entity was created and available for use
RpmFile,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
RpmFile,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
RpmFile,title,string,,"A short, human-readable identifying label."
RpmFile,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
RpmFile,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
RpmFile,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
RpmFile,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
RpmFile,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareAccomplishmentSummary,,,,
SoftwareAccomplishmentSummary,approvalAuthority,AGENT,,AGENT responsible for approving a document.
SoftwareAccomplishmentSummary,dateOfIssue,date,,Release date for the document.
SoftwareAccomplishmentSummary,issuingOrganization,AGENT,,AGENT responsible for producing a document.
SoftwareAccomplishmentSummary,references,ENTITY,,Source Materials used in the development of a document.
SoftwareAccomplishmentSummary,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
SoftwareAccomplishmentSummary,versionNumber,string,,
SoftwareAccomplishmentSummary,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareAccomplishmentSummary,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
SoftwareAccomplishmentSummary,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareAccomplishmentSummary,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareAccomplishmentSummary,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareAccomplishmentSummary,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareAccomplishmentSummary,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareAccomplishmentSummary,title,string,,"A short, human-readable identifying label."
SoftwareAccomplishmentSummary,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareAccomplishmentSummary,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareAccomplishmentSummary,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareAccomplishmentSummary,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareAccomplishmentSummary,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareCodeReview,,,,
SoftwareCodeReview,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareCodeReview,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareCodeReview,endedAtTime,dateTime,,The time an activity was ended
SoftwareCodeReview,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareCodeReview,startedAtTime,dateTime,,The time an activity was started
SoftwareCodeReview,title,string,,"A short, human-readable identifying label."
SoftwareCodeReview,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
